VideoID,RegionCode,TrendingDate,Views,Likes,CommentCount,Dislikes
cOc3tsFWoRs,US,17.14.11,1497519,15504,1084,353
AJYb0Yom5UQ,US,17.14.11,148226,355,178,47
gLswXiRLdkA,US,17.14.11,484185,23296,1858,1184
MyEqfBkzESU,US,17.14.11,300617,8133,2911,2693
wJYE0sFOteE,US,17.14.11,92523,2323,134,40
L_5_slz4ke4,US,17.14.11,7524,67,56,19
OKoL852K9uA,US,17.14.11,103927,3571,399,278
pa_oUisZZy0,US,17.14.11,177707,6271,275,88
fNtLIcyjsnI,US,17.14.11,1751064,16430,1231,945
_Iz83-Cmt6A,US,17.14.11,46746,439,55,66
YlvCVbfS9M0,US,17.14.11,746092,34839,2541,537
arJ5h2TY3I4,US,17.14.11,836830,82320,7998,1279
-2RVw2_QyxQ,US,17.14.11,67429,438,23,23
gEHCXl4J9Qo,US,17.14.11,2237404,72593,3501,1830
-OK9i1_YYYc,US,17.14.11,45455,2282,17,35
b4vTZx_AtHk,US,17.14.11,2063667,98804,11443,11682
kOnQocd799Y,US,17.14.11,2736733,58967,7915,3492
e4FApt6z55c,US,17.14.11,165698,8599,930,361
2XK4omx9uMU,US,17.14.11,836544,40195,976,373
xfmipNU4Odc,US,17.14.11,284666,16396,949,81
jp9hK-jY6yY,US,17.14.11,3371669,202676,20086,3394
RkHuWjiR-LM,US,17.14.11,195685,14338,1070,171
fCTKDn3Q8xQ,US,17.14.11,1098897,43875,4702,1326
DIU3xPdhCBI,US,17.14.11,893462,22326,943,833
wnwF1FHybDQ,US,17.14.11,225286,1731,206,193
9oFP-pOMNwE,US,17.14.11,264793,3283,0,853
pz95u3UVpaM,US,17.14.11,5476737,286268,12254,4083
g5c1bk8weaQ,US,17.14.11,3578502,307435,12248,2573
yuBqWcSKrCk,US,17.14.11,304926,3305,275,130
x9mh-SwSKas,US,17.14.11,247319,10138,639,153
uiA4B5Y63IQ,US,17.14.11,296434,3327,377,142
viyRD5z6ilQ,US,17.14.11,125962,5048,369,139
QFfEtKvXMAs,US,17.14.11,419341,53572,3083,168
xg9ebVTL9yE,US,17.14.11,138988,7999,612,84
fbHbTBP_u7U,US,17.14.11,1774018,88417,7686,1002
Ja_GMU7-sjs,US,17.14.11,1575525,52829,5864,1524
QOksZ8VogRw,US,17.14.11,626688,25115,1392,499
RYs08kX3Ih4,US,17.14.11,219030,14303,1099,398
tOFkFZbPdnQ,US,17.14.11,493662,7693,388,181
dW4wpGg64pE,US,17.14.11,1017803,25122,1504,628
2VP846QcA_4,US,17.14.11,139955,4417,457,217
_dhneCO4YEE,US,17.14.11,362009,5505,1264,2356
EYkEshCOhEU,US,17.14.11,294387,15247,976,385
Rq9-mW6HgQE,US,17.14.11,844653,11616,1518,313
k29YnfttqEU,US,17.14.11,1315873,9312,769,584
Eg_kW5fw6qU,US,17.14.11,188003,9091,2814,135
J_QGZspO4gg,US,17.14.11,1624771,84426,5981,1130
PkRBTF6nt4E,US,17.14.11,125970,935,262,507
ozkqm2ifMw8,US,17.14.11,205869,11198,446,120
htvR_dBs3eg,US,17.14.11,98422,2926,798,106
qEEtzzi1EII,US,17.14.11,426078,19323,945,245
1Wk8ZRgXQnY,US,17.14.11,33315,1365,91,24
8l_e6bx8UG8,US,17.14.11,1231518,32648,9288,6221
lsfzA7sWlOM,US,17.14.11,154872,7683,1734,164
RQDphL2MVlM,US,17.14.11,72626,3652,219,120
X7flefV8tec,US,17.14.11,366180,4364,1997,4448
cYw-oyJ7AEY,US,17.14.11,264511,11736,743,532
6nJw-jPQYVI,US,17.14.11,192609,1345,126,24
5x1FAiIq_pQ,US,17.14.11,95944,1354,117,181
LMCuKltaY3M,US,17.14.11,154494,2163,211,147
6Detw08jRhs,US,17.14.11,53321,443,106,131
vd4zwINEcLY,US,17.14.11,95085,909,193,52
7fm7mll2qvg,US,17.14.11,91776,4604,357,46
5gFpcEKayz4,US,17.14.11,764716,35765,1159,483
eHIY3HNNqzM,US,17.14.11,135337,7158,318,89
q-WipZ9p0wk,US,17.14.11,77630,1991,208,83
zy0b9e40tK8,US,17.14.11,378750,5642,675,146
rL4WkebTT_U,US,17.14.11,151709,9210,1103,71
Y6eKxjMA9ek,US,17.14.11,175852,15909,852,200
Q6Usd3_fbq8,US,17.14.11,5149,242,54,0
44NYFvhXmW8,US,17.14.11,1905487,65854,4490,2442
9wg3v-01yKQ,US,17.14.11,9632678,810895,59473,16139
F-j_6IuaYfw,US,17.14.11,476389,16106,2077,950
_qSW96a2aKY,US,17.14.11,754558,11985,1757,1356
afgvlR9WmIQ,US,17.14.11,762616,20159,899,336
_CJN_ryETIY,US,17.14.11,199429,10175,539,66
P4YJwy_T9pM,US,17.14.11,691229,31892,1404,197
YqH4eWR7jDQ,US,17.14.11,6412,49,2,0
r96KpNTcog4,US,17.14.11,108618,4989,274,58
B4gXsobd_ao,US,17.14.11,79306,3809,670,127
x8eLIJAM58M,US,17.14.11,812007,5894,851,951
6V_aZsATDsM,US,17.14.11,55398,1170,336,22
qg0GdM60syI,US,17.14.11,773,2,0,0
8j_BYfVEyhA,US,17.14.11,581288,5075,1780,725
9ymjcSvEyhk,US,17.14.11,99619,3959,335,158
oB3SAI2oCqk,US,17.14.11,4850,22,1,1
HNa_UWX51_s,US,17.14.11,226088,10844,555,302
08nkwgZIE4I,US,17.14.11,651036,23338,1101,442
5Smb3tZD1Qc,US,17.14.11,451356,3454,623,284
YHDbsyyjld0,US,17.14.11,46571,4250,408,16
uyl6WtHEYOQ,US,17.14.11,28539,681,45,25
bhoFXkVy8JA,US,17.14.11,12609,40,17,79
_w58R1OGQFA,US,17.14.11,30021,569,44,42
BEweWXa5Twk,US,17.14.11,471266,23634,1714,460
egXr0PU-kCY,US,17.14.11,1073134,47793,5358,1886
fIQ2Ty2OL34,US,17.14.11,18573,420,236,10
d_j512i2k6c,US,17.14.11,250193,5748,1197,332
4d07RXYLsJE,US,17.14.11,1827,3,2,0
DOIw62TXYkg,US,17.14.11,2457408,2707,209,200
0lbJHqAGpbA,US,17.14.11,51143,258,10,5
JuP1Z8xpRb8,US,17.14.11,27010,1666,150,36
CR9zYgr84QY,US,17.14.11,122669,5723,263,55
1640fZpYBSY,US,17.14.11,358597,1211,593,72
M2-IpsWQUWs,US,17.14.11,56012,6243,414,106
7m630xvAJtA,US,17.14.11,6148,121,19,3
510KQ_LXGww,US,17.14.11,1390440,86207,710,1775
CO9dIyNM_9Q,US,17.14.11,244532,633,765,174
hX643KbiI4s,US,17.14.11,82087,998,289,93
mwpHSMv1pI4,US,17.14.11,359120,15130,1143,223
Mfiim71QdYQ,US,17.14.11,33768,426,550,88
UFPSIa1cLRQ,US,17.14.11,38068,2195,154,28
o78x918zbFk,US,17.14.11,1277364,56867,25326,2148
iNf6VErGDLI,US,17.14.11,1498866,67227,4645,1473
6ixU_vdE0Es,US,17.14.11,280065,20289,939,38
wRGldR_SQAA,US,17.14.11,2259,0,0,0
agKDPntMv-E,US,17.14.11,470191,4037,1553,430
Xl38SuxyrgM,US,17.14.11,16305,147,47,13
u7pV4vxD1bs,US,17.14.11,169511,57,79,59
zYWt2mnalP8,US,17.14.11,160477,8388,950,691
PoNWU2cox9w,US,17.14.11,704363,16352,841,224
6hTzM1BPdU8,US,17.14.11,130778,5684,737,53
MCW5HUkrr-o,US,17.14.11,560569,29990,1788,341
YvfYK0EEhK4,US,17.15.11,462490,14132,666,795
cxMvzK2OQTw,US,17.15.11,295217,4854,1267,1439
bAkEd8r7Nnw,US,17.15.11,1525400,63995,4697,896
ItYOdWRo0JY,US,17.15.11,1836419,28647,7860,17815
5530I_pYjbo,US,17.15.11,977285,87615,5575,391
dUMH6DVYskc,US,17.15.11,390964,3687,1224,1273
gjXrm2Q-te4,US,17.15.11,1611093,58474,3294,837
9SK1I0V6U5c,US,17.15.11,983365,60983,3837,578
VsYmwBOYfW8,US,17.15.11,2765121,35529,2388,1705
kgaO45SyaO4,US,17.15.11,3701763,56561,11608,2495
CtBca6H6Teg,US,17.15.11,829132,25109,3428,316
pcWKpGzhgq4,US,17.15.11,391049,5939,385,106
L3br0klRqF4,US,17.15.11,137003,580,343,262
9kF9xY74h-E,US,17.15.11,891912,122347,7459,455
p2EY93WfBQk,US,17.15.11,175539,17130,1747,264
xL_qpDkF5A8,US,17.15.11,14565,478,67,13
eQVhAN7-IAw,US,17.15.11,125645,16754,1373,65
2kyS6SvSYSE,US,17.15.11,2188590,88099,24225,7150
Y9nDagqKL7Q,US,17.15.11,394709,25188,1345,281
DbJ2s_g1oDc,US,17.15.11,863116,20518,4272,1030
KJ12FVmumeA,US,17.15.11,200235,1197,627,108
1ZAPwfrtAFY,US,17.15.11,4632016,131784,18284,9892
qDAxDcjgn-8,US,17.15.11,122426,6310,1624,298
gHZ1Qz0KiKM,US,17.15.11,758998,19138,2873,2272
815lSYphlbw,US,17.15.11,145100,5198,657,74
jr9QtXwC9vc,US,17.15.11,2671756,12699,1010,505
E_86MEdNsAI,US,17.15.11,52743,4553,550,33
Cr9oGxr0Qa0,US,17.15.11,121681,6095,731,61
g0K5QoEj7FQ,US,17.15.11,11404,62,20,26
l4bAoNAx2uo,US,17.15.11,419965,9805,5457,1337
TSqwDQHE1J8,US,17.15.11,137749,1145,131,61
puqaWrEC7tY,US,17.15.11,772235,15301,3328,1229
YVfyYrEmzgM,US,17.15.11,297147,10410,665,110
MltuW2kcREI,US,17.15.11,126438,12229,1865,86
5E4ZBSInqUU,US,17.15.11,2285136,180284,11700,3399
jGiqc3HSxEg,US,17.15.11,206319,11131,553,209
XrDlDj9DfZs,US,17.15.11,60564,975,106,66
vU14JY3x81A,US,17.15.11,373457,16433,5220,194
5qpjK5DgCt4,US,17.15.11,4326684,167696,9265,6730
Z3OZyb2iWqQ,US,17.15.11,137860,1950,136,64
Hq89wYzOjfs,US,17.15.11,4009,61,14,6
vZzIS17HexE,US,17.15.11,3006,75,10,4
TUmyygCMMGA,US,17.15.11,635985,20721,4111,2417
lZ68j2J_GOM,US,17.15.11,130893,8177,349,220
yZGSIpcAfEo,US,17.15.11,46954,87,28,18
zZ9FciUx6gs,US,17.15.11,208155,11162,954,569
zxUwbflE1SY,US,17.15.11,190669,5162,1151,131
d380meD0W0M,US,17.15.11,2509626,144816,18893,2262
7oRdswHqaf8,US,17.15.11,20778,1440,437,24
oTObwUiXdYY,US,17.15.11,30438,143,220,42
qC0I5PEhkJo,US,17.15.11,94694,136,31,11
VifQlJit6A0,US,17.15.11,211683,2279,1838,545
PaJCFHXcWmM,US,17.15.11,210393,8996,4043,290
0zk2SwmCpss,US,17.15.11,63780,831,301,12
SGVbdo2CkgI,US,17.15.11,18438,563,29,16
nc99ccSXST0,US,17.15.11,1099318,26813,3827,1047
NfLVVJOuY5M,US,17.15.11,71661,6310,300,18
F388-6yDDpc,US,17.15.11,935879,5715,3442,514
KhdecX0qjNA,US,17.15.11,131153,7129,265,78
iIxy3JN3-jc,US,17.15.11,84149,276,172,128
kWIzjMWmuYk,US,17.15.11,34138,4303,1399,29
symdi5KSJts,US,17.15.11,144937,5246,280,171
_-aDHxoblr4,US,17.15.11,306550,16612,1311,160
eNSN6qet1kE,US,17.15.11,328325,19970,3336,104
39idVpFF7NQ,US,17.15.11,2472569,17959,2690,2863
U0hAC8O7RoI,US,17.15.11,341074,10915,1313,1915
5hEJsoDP2q4,US,17.15.11,113963,11576,635,155
NZFhMSgbKKM,US,17.15.11,21544,83,62,74
lBHPVE3AI6Y,US,17.15.11,93322,398,497,43
e_7zHm7GsYc,US,17.15.11,68084,2530,117,88
TaTleo4cOs8,US,17.15.11,279092,8339,2371,315
GgVmn66oK_A,US,17.15.11,692631,9086,4582,1406
ogYum4kWXgk,US,17.15.11,155285,4719,207,64
kIUHDwn51y8,US,17.15.11,93829,2229,469,36
Lz7dya576HY,US,17.15.11,31639,586,67,42
zNqCVTs38nU,US,17.15.11,37524,126,45,77
ZAQs-ctOqXQ,US,17.15.11,358358,9211,1385,731
fcVjitaM3LY,US,17.15.11,158173,6587,611,68
kqmhCaF5_44,US,17.15.11,45200,930,116,67
B5HORANmzHw,US,17.15.11,286577,9606,1196,248
6VhU_T463sU,US,17.15.11,315177,4212,259,171
JBZTZZAcFTw,US,17.15.11,225044,2265,868,775
eAyxMv4IBH8,US,17.15.11,399491,6240,287,326
qeWvgZLz9yU,US,17.15.11,231104,12862,1824,347
EJu_wPGFTw0,US,17.15.11,5813,33,0,3
MKLlDnUqho4,US,17.15.11,18317,1322,196,34
wwZ-T_WQ03A,US,17.15.11,246134,5847,544,337
9XSULcLI6Hg,US,17.15.11,32483,23,135,10
hz7ukDjuq4w,US,17.15.11,113462,4566,757,142
p2hJxyF7mok,US,17.15.11,311621,2425,465,145
CBVGjS_EJok,US,17.15.11,94229,217,0,177
i-LCORFB860,US,17.15.11,571588,386,113,47
dRpNZV18N_g,US,17.15.11,272604,9576,1619,260
vWYyZMH_QjA,US,17.15.11,42336,4293,428,89
MNiweoKXwfg,US,17.15.11,13750,305,39,10
VJlSq6h0LNg,US,17.15.11,6684,18,54,57
ijJPFowBsBc,US,17.15.11,128523,4170,307,148
HBS9783c0BI,US,17.15.11,102639,3218,475,1085
n1WpP7iowLc,US,17.15.11,20539417,840642,124236,47715
PABlVzeldaM,US,17.15.11,238413,732,618,92
JwboxqDylgg,US,17.15.11,41029,296,33,32
dQvIbulWCM4,US,17.15.11,805124,44513,3929,1756
pjuPpVLXDQg,US,17.15.11,55140,136,46,14
0mlNzVSJrT0,US,17.15.11,120817,2896,594,210
n30k5CwLhS4,US,17.15.11,58469,828,271,253
0tO_l_Ed5Rs,US,17.15.11,360223,15873,7803,16033
BWPrk9PUwQE,US,17.15.11,1775997,37124,2695,1980
1WDj0DddCcM,US,17.15.11,6685,11,18,35
bqgVB6Vl-lI,US,17.15.11,200060,4548,258,52
STI2fI7sKMo,US,17.15.11,346924,4657,734,1838
9t9u_yPEidY,US,17.15.11,12987863,216319,12133,17751
0PpNlNJ6Nng,US,17.15.11,1981757,103407,12354,1419
sbcbvuitiTc,US,17.15.11,1015189,2133,1465,2483
ZhSk8mPSWCg,US,17.15.11,3653,47,25,3
DM-ni_LSOFE,US,17.15.11,2255529,48000,8507,2970
069D0NmW39o,US,17.15.11,1155622,16060,1018,883
c-3JxzN2u34,US,17.15.11,9892,250,19,7
qooQd8AA7_M,US,17.15.11,5626588,408618,28196,6121
9KIP-Ncp2jU,US,17.15.11,85643,170,0,45
KODzih-pYlU,US,17.15.11,212310,7589,463,227
w0XYVssCKjw,US,17.15.11,180284,6073,512,125
9xSx-5tmq44,US,17.15.11,301423,8409,952,349
1cgK-BIrXes,US,17.15.11,835573,27068,5165,2021
ujyTQNNjjDU,US,17.15.11,3686343,130373,6694,3628
4v0nOAzcG2A,US,17.15.11,297840,10429,990,378
8mhTWqWlQzU,US,17.15.11,2922523,119348,6736,1161
6340tX9M_eM,US,17.15.11,595415,8795,1022,450
t4YAyT4ihIQ,US,17.15.11,3643894,125205,5687,8702
L_5_slz4ke4,US,17.15.11,9833,73,62,21
Jw1Y-zhQURU,US,17.15.11,7563254,58209,7120,10859
_Iz83-Cmt6A,US,17.15.11,54341,487,64,67
lY_0mkYDZDU,US,17.15.11,357078,19783,1732,610
ObIQ0s02UHg,US,17.15.11,1888789,44007,1794,1997
AJYb0Yom5UQ,US,17.15.11,168446,374,191,48
k8NxqyGcZA4,US,17.15.11,263656,2556,2377,5584
gLswXiRLdkA,US,17.15.11,515525,24115,1860,1249
2Vv-BfVoq4g,US,17.15.11,39082222,1721383,90352,23137
i4YQRLQVixM,US,17.15.11,1080230,2540,1040,887
YlvCVbfS9M0,US,17.15.11,873362,36365,2630,594
MyEqfBkzESU,US,17.15.11,366892,9052,3088,2993
Fyyua5JzD9w,US,17.15.11,48372,382,29,11
pa_oUisZZy0,US,17.15.11,216766,7108,319,95
cccyOn99s4Y,US,17.15.11,81086,3085,250,150
9Th4qTv-4jE,US,17.15.11,3931,17,2,0
arJ5h2TY3I4,US,17.15.11,1072970,102199,8943,1469
UFYCTJlayS4,US,17.15.11,56372,2332,261,191
-2RVw2_QyxQ,US,17.15.11,69786,453,19,26
e4FApt6z55c,US,17.15.11,204298,9321,993,386
uTH--XRCGxM,US,17.15.11,101233,3128,93,51
2XK4omx9uMU,US,17.15.11,1126501,48219,1083,444
gEHCXl4J9Qo,US,17.15.11,2498463,75023,3483,1925
RkHuWjiR-LM,US,17.15.11,224608,14843,1004,180
-OK9i1_YYYc,US,17.15.11,45965,2284,17,35
xfmipNU4Odc,US,17.15.11,317304,17023,939,84
fNtLIcyjsnI,US,17.15.11,1996082,18992,1322,1049
abGCYPCk294,US,17.15.11,44939,1576,1021,110
OKoL852K9uA,US,17.15.11,118316,3823,404,294
b4vTZx_AtHk,US,17.15.11,2244971,101831,11863,12677
kOnQocd799Y,US,17.15.11,2844271,60500,8122,3667
wJYE0sFOteE,US,17.15.11,99019,2404,135,40
jp9hK-jY6yY,US,17.15.11,3591699,212004,20418,3528
DIU3xPdhCBI,US,17.15.11,1137392,26180,1055,992
viyRD5z6ilQ,US,17.15.11,147193,5405,395,151
QFfEtKvXMAs,US,17.15.11,482334,55001,3027,184
x9mh-SwSKas,US,17.15.11,269509,10801,653,158
g5c1bk8weaQ,US,17.15.11,3741812,314872,12114,2647
fCTKDn3Q8xQ,US,17.15.11,1185773,45513,4794,1378
xg9ebVTL9yE,US,17.15.11,178313,9072,656,98
fbHbTBP_u7U,US,17.15.11,2185367,96850,8216,1130
uiA4B5Y63IQ,US,17.15.11,366814,4099,449,172
QOksZ8VogRw,US,17.15.11,797436,29425,1497,585
Ja_GMU7-sjs,US,17.15.11,1646057,53901,5963,1566
9oFP-pOMNwE,US,17.15.11,271685,3330,0,854
ttf_EzEkxBk,US,17.15.11,3505996,5934,5162,3400
Eg_kW5fw6qU,US,17.15.11,194946,9278,2803,137
_dhneCO4YEE,US,17.15.11,392482,5659,1311,2432
J_QGZspO4gg,US,17.15.11,1882868,88072,6083,1219
ozkqm2ifMw8,US,17.15.11,226317,11702,471,125
RYs08kX3Ih4,US,17.15.11,232083,14766,1107,408
PkRBTF6nt4E,US,17.15.11,144694,1012,288,588
Rq9-mW6HgQE,US,17.15.11,908489,12261,1600,339
LMCuKltaY3M,US,17.15.11,180606,2400,239,159
EYkEshCOhEU,US,17.15.11,308352,15765,984,399
6nJw-jPQYVI,US,17.15.11,193832,1351,128,25
1Wk8ZRgXQnY,US,17.15.11,41251,1561,96,29
tOFkFZbPdnQ,US,17.15.11,524911,7822,403,185
qEEtzzi1EII,US,17.15.11,467804,19962,953,268
RQDphL2MVlM,US,17.15.11,77302,3756,222,123
cYw-oyJ7AEY,US,17.15.11,304700,12347,756,577
8l_e6bx8UG8,US,17.15.11,1440724,36686,9637,6598
_qSW96a2aKY,US,17.15.11,878560,12961,1788,1468
2VP846QcA_4,US,17.15.11,155533,4621,451,233
lsfzA7sWlOM,US,17.15.11,161231,7803,1479,169
X7flefV8tec,US,17.15.11,379918,4472,2066,4507
l7je4VAUvjA,US,17.15.11,90454,211,59,65
eHIY3HNNqzM,US,17.15.11,157037,7800,326,96
5gFpcEKayz4,US,17.15.11,895507,38734,1270,550
r96KpNTcog4,US,17.15.11,134372,7979,310,80
6Detw08jRhs,US,17.15.11,55901,477,105,132
_CJN_ryETIY,US,17.15.11,207678,10372,554,69
8-Cjsnq8kVU,US,17.16.11,3979891,151850,8079,2378
hpapqEeb36k,US,17.16.11,387902,24442,1346,414
cmoknv58jjE,US,17.16.11,1803724,57470,7483,5261
sottGW1p5os,US,17.16.11,3621389,141681,8127,1289
cxMvzK2OQTw,US,17.16.11,1012513,20036,5153,6510
EEIP1YpFXrE,US,17.16.11,224426,17784,2762,225
YvfYK0EEhK4,US,17.16.11,1147169,31832,1498,1902
dUMH6DVYskc,US,17.16.11,1362421,8970,3857,4131
pgjRX9oGF7g,US,17.16.11,593969,24672,5173,735
bAkEd8r7Nnw,US,17.16.11,2916453,93039,6493,1765
_BVAJ3PXZ1k,US,17.16.11,533940,12633,1828,597
8hKbIhrb1WU,US,17.16.11,1559003,29898,1838,884
ItYOdWRo0JY,US,17.16.11,2900560,37329,10768,34908
RTaDvKMtUeA,US,17.16.11,760341,13283,433,317
5530I_pYjbo,US,17.16.11,1961066,142740,8471,773
jG1JY0rt2Os,US,17.16.11,1258937,114661,11298,2509
RrhSJzM8NLE,US,17.16.11,133212,6260,528,202
xL_qpDkF5A8,US,17.16.11,235655,2665,336,109
0gwkMY-mzUQ,US,17.16.11,208117,21334,1229,255
UwdLlnPaRAU,US,17.16.11,229515,9435,759,90
ve3oQBjcAGI,US,17.16.11,1496471,43974,9442,2045
C4YNcqNF4hg,US,17.16.11,211596,3802,232,78
gjXrm2Q-te4,US,17.16.11,2223948,76806,4176,1169
kgaO45SyaO4,US,17.16.11,5531707,72727,14816,3362
k1cA-Wh3Tc0,US,17.16.11,623803,17286,6126,511
9SK1I0V6U5c,US,17.16.11,1610930,85208,5001,916
Mn-3c6of8t8,US,17.16.11,42571,3557,693,147
eQVhAN7-IAw,US,17.16.11,507753,35595,2176,483
TN5jzDgORqQ,US,17.16.11,237107,2207,261,138
9Ca8zWJOlFQ,US,17.16.11,1825705,77531,12025,4156
CtBca6H6Teg,US,17.16.11,1251180,32186,4166,455
mcqWcLDUeag,US,17.16.11,79863,259,47,131
4SANXNco_y4,US,17.16.11,50934,2793,295,104
-oXybog2IuI,US,17.16.11,21740,979,93,5
pcWKpGzhgq4,US,17.16.11,574778,7517,515,154
L3br0klRqF4,US,17.16.11,153220,660,479,320
oRF2-ZloSqg,US,17.16.11,845763,17929,2325,502
g0K5QoEj7FQ,US,17.16.11,42769,175,100,117
lzgQrHFDNLE,US,17.16.11,177648,6932,697,786
qDAxDcjgn-8,US,17.16.11,225337,9576,2282,587
0ANDjPQPS_Q,US,17.16.11,17901,2325,429,50
p2EY93WfBQk,US,17.16.11,290124,23472,2308,483
4ftGS_6i7mM,US,17.16.11,15232,84,20,11
9kF9xY74h-E,US,17.16.11,1291560,152975,8490,650
vZzIS17HexE,US,17.16.11,28895,309,76,81
Y9nDagqKL7Q,US,17.16.11,520049,28187,1607,452
upEIZAihcwo,US,17.16.11,10838,7,10,42
KJ12FVmumeA,US,17.16.11,281868,1546,885,245
2kyS6SvSYSE,US,17.16.11,2325233,91111,21450,7543
815lSYphlbw,US,17.16.11,196434,6305,762,88
DbJ2s_g1oDc,US,17.16.11,936075,21642,2877,1202
Jidk0O6uu-0,US,17.16.11,52607,3835,351,32
E_86MEdNsAI,US,17.16.11,91701,5930,743,70
64IIfxDrhJY,US,17.16.11,17129,455,101,18
1ZAPwfrtAFY,US,17.16.11,5086221,137819,18395,10468
gHZ1Qz0KiKM,US,17.16.11,860406,20489,3083,2507
k-w8GxCpsCU,US,17.16.11,2394,19,2,0
Cr9oGxr0Qa0,US,17.16.11,153583,6989,845,92
l4bAoNAx2uo,US,17.16.11,587752,11891,6920,1777
